0,5534
1,5446
2,5448
3,5419
4,5426
5,5400
6,5380
7,5350
8,5365
9,5327
10,5313
11,5290
12,5296
13,5289
14,5340
15,5333
16,5309
17,5310
18,5296
19,5255
20,5227
21,5181
22,5163
23,5164
24,5207
25,5246
26,5283
27,5301
28,5283
29,5260
30,5228
31,5192
32,5215
33,5193
34,5158
35,5113
36,5059
37,4997
38,4978
39,4977
40,4957
41,4984
42,4994
43,4981
44,5020
45,5045
46,5068
47,5088
48,5139
49,5167
50,4967
51,4908
52,4984
53,5022
54,5068
55,5045
56,5041
57,5065
58,5083
59,5095
60,5104
61,5114
62,5181
63,5173
64,5233
65,5280
66,5332
67,5372
68,5610
69,5661
70,5736
71,5789
72,5875
73,5909
74,6077
75,6149
76,6246
77,6309
78,6346
79,6423
80,6458
81,6461
82,6499
83,6516
84,6520
85,6544
86,6680
87,6695
88,6758
89,6706
90,6661
91,6617
92,6467
93,6338
94,6224
95,6185
96,6054
97,5892
98,5864
99,5799
100,5701
101,5446
102,5490
103,5450
104,5229
105,5173
106,5136
107,5006
108,4815
109,4797
110,4708
111,4591
112,4465
113,4326
114,4180
115,4097
116,4035
117,4028
118,4006
119,3955
120,3989
121,4061
122,4006
123,3925
124,3904
125,3898
126,3869
127,3923
128,3965
129,3850
130,3904
131,3857
132,3754
133,3772
134,3845
135,3885
136,3806
137,3744
138,3732
139,3899
140,4200
141,4162
142,4147
143,4188
144,4148
145,4235
146,4141
147,4172
148,4192
149,4207
150,4203
151,4214
152,4243
153,4243
154,4334
155,4344
156,4355
157,4507
158,4548
159,4560
160,4532
161,4592
162,4721
163,4658
164,4641
165,4728
166,4859
167,4853
168,4835
169,4847
170,4864
171,4630
172,4631
173,4729
174,4728
175,4632
176,4492
177,4527
178,4521
179,4617
180,4518
181,4539
182,4428
183,4355
184,4453
185,4411
186,4408
187,4425
188,4431
189,4506
190,4581
191,4730
192,4847
193,4989
194,5070
195,5076
196,5155
197,5334
198,5443
199,5582
200,5732
201,5838
202,5954
203,6123
204,6274
205,6388
206,6572
207,6618
208,6724
209,6862
210,6956
211,7044
212,7177
213,7270
214,7382
215,7506
216,7612
217,7649
218,7686
219,7771
220,7891
221,7965
222,8028
223,8006
224,8018
225,8026
226,8066
227,8114
228,8108
229,8096
230,8180
231,8178
232,8153
233,8123
234,8105
235,8088
236,8058
237,8037
238,8027
239,8006
240,7964
241,7912
242,7905
243,7872
244,7849
245,7801
246,7771
247,7766
248,7747
249,7724
250,7675
251,7588
252,7507
253,7495
254,7440
255,7422
256,7424
257,7413
258,7406
259,7388
260,7323
261,7276
262,7261
263,7241
264,7228
265,7199
266,7226
267,7161
268,7111
269,7056
270,7004
271,6959
272,6900
273,6841
274,6782
275,6738
276,6678
277,6582
278,6552
279,6500
280,6417
281,6343
282,6292
283,6240
284,6186
285,6110
286,6046
287,6003
